Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Vol, Ask Vol, Keltner Average, Top, Bottom
2016/8/9, 11:34:50.1, 2182.25, 2182.25, 2181.75, 2181.75, 4287, 1000, 2182.00, 2181.92, 2182.00, 2465, 1822, 2182.25, 2183.96, 2180.55
2016/8/9, 11:36:02.5, 2181.75, 2182.25, 2181.50, 2182.25, 3945, 1000, 2181.94, 2182.00, 2181.88, 1736, 2209, 2182.25, 2183.96, 2180.55
2016/8/9, 11:38:02.14, 2182.25, 2182.25, 2181.75, 2182.00, 3804, 1000, 2182.06, 2182.00, 2182.00, 2134, 1670, 2182.23, 2183.87, 2180.58
2016/8/9, 11:41:01.0, 2181.75, 2182.00, 2181.50, 2181.75, 4423, 1000, 2181.75, 2181.75, 2181.75, 1615, 2808, 2182.18, 2183.78, 2180.59
2016/8/9, 11:43:01.0, 2181.75, 2182.00, 2181.50, 2181.75, 4609, 1000, 2181.75, 2181.75, 2181.75, 2547, 2062, 2182.14, 2183.69, 2180.60
2016/8/9, 11:44:18.6, 2181.75, 2182.00, 2181.25, 2181.75, 4365, 1000, 2181.69, 2181.67, 2181.63, 2051, 2314, 2182.10, 2183.66, 2180.54
2016/8/9, 11:46:02.7, 2181.75, 2182.00, 2181.50, 2181.50, 4603, 1000, 2181.69, 2181.67, 2181.75, 2527, 2076, 2182.05, 2183.56, 2180.53
2016/8/9, 11:46:48.33, 2181.50, 2182.25, 2181.50, 2182.00, 3713, 1000, 2181.81, 2181.92, 2181.88, 1876, 1837, 2182.04, 2183.58, 2180.51
2016/8/9, 11:47:45.106, 2182.00, 2182.25, 2181.75, 2181.75, 4316, 1000, 2181.94, 2181.92, 2182.00, 2999, 1317, 2182.01, 2183.51, 2180.52
2016/8/9, 11:51:00.184, 2181.75, 2182.00, 2181.50, 2181.50, 3463, 1000, 2181.69, 2181.67, 2181.75, 1509, 1954, 2181.97, 2183.42, 2180.51
2016/8/9, 11:53:24.11, 2181.50, 2182.00, 2181.50, 2181.75, 3808, 1000, 2181.69, 2181.75, 2181.75, 1873, 1935, 2181.95, 2183.37, 2180.52
2016/8/9, 11:56:14.6, 2181.75, 2182.00, 2181.50, 2182.00, 4096, 1000, 2181.81, 2181.83, 2181.75, 1711, 2385, 2181.95, 2183.34, 2180.56
2016/8/9, 11:58:23.27, 2182.00, 2182.25, 2181.50, 2181.75, 4437, 1000, 2181.88, 2181.83, 2181.88, 2473, 1964, 2181.93, 2183.35, 2180.51
2016/8/9, 12:00:07.3, 2181.75, 2182.00, 2181.50, 2182.00, 3648, 1000, 2181.81, 2181.83, 2181.75, 1528, 2120, 2181.94, 2183.33, 2180.54
2016/8/9, 12:02:32.61, 2182.00, 2182.50, 2181.75, 2182.25, 4196, 1000, 2182.13, 2182.17, 2182.13, 1992, 2204, 2181.97, 2183.39, 2180.55
2016/8/9, 12:04:30.8, 2182.25, 2182.75, 2182.00, 2182.75, 3438, 1000, 2182.44, 2182.50, 2182.38, 1581, 1857, 2182.04, 2183.49, 2180.59
2016/8/9, 12:06:56.2, 2182.75, 2182.75, 2182.25, 2182.50, 4191, 1000, 2182.56, 2182.50, 2182.50, 2186, 2005, 2182.09, 2183.50, 2180.67
2016/8/9, 12:10:03.86, 2182.50, 2182.75, 2182.00, 2182.25, 3735, 1000, 2182.38, 2182.33, 2182.38, 2100, 1635, 2182.10, 2183.54, 2180.66
2016/8/9, 12:15:03.57, 2182.25, 2182.25, 2181.50, 2181.75, 3959, 1000, 2181.94, 2181.83, 2181.88, 2254, 1705, 2182.07, 2183.54, 2180.60
2016/8/9, 12:16:50.82, 2181.75, 2181.75, 2181.25, 2181.50, 4232, 1000, 2181.56, 2181.50, 2181.50, 2199, 2033, 2182.01, 2183.45, 2180.58
2016/8/9, 12:20:16.0, 2181.50, 2181.50, 2180.50, 2180.50, 3712, 1000, 2181.00, 2180.83, 2181.00, 3336, 376, 2181.87, 2183.38, 2180.35
2016/8/9, 12:22:59.218, 2180.50, 2180.75, 2180.00, 2180.00, 3988, 1000, 2180.31, 2180.25, 2180.38, 2902, 1086, 2181.69, 2183.22, 2180.16
2016/8/9, 12:23:07.96, 2180.00, 2180.25, 2179.50, 2179.50, 3791, 1000, 2179.81, 2179.75, 2179.88, 3329, 462, 2181.48, 2183.03, 2179.94
2016/8/9, 12:23:40.205, 2179.50, 2179.75, 2179.25, 2179.50, 3079, 1000, 2179.50, 2179.50, 2179.50, 1587, 1492, 2181.29, 2182.80, 2179.79
2016/8/9, 12:24:03.63, 2179.50, 2179.50, 2178.75, 2179.00, 5677, 1000, 2179.19, 2179.08, 2179.13, 3672, 2005, 2181.08, 2182.60, 2179.55
2016/8/9, 12:24:29.10, 2179.00, 2179.75, 2178.75, 2179.25, 4724, 1000, 2179.19, 2179.25, 2179.25, 1808, 2916, 2180.90, 2182.50, 2179.31
2016/8/9, 12:25:42.11, 2179.25, 2179.50, 2179.00, 2179.50, 3800, 1000, 2179.31, 2179.33, 2179.25, 1845, 1955, 2180.77, 2182.32, 2179.22
2016/8/9, 12:27:36.123, 2179.50, 2179.50, 2179.00, 2179.25, 3667, 1000, 2179.31, 2179.25, 2179.25, 1750, 1917, 2180.62, 2182.13, 2179.12
2016/8/9, 12:29:38.30, 2179.25, 2179.50, 2179.00, 2179.25, 3878, 1000, 2179.25, 2179.25, 2179.25, 1923, 1955, 2180.49, 2181.96, 2179.02
2016/8/9, 12:31:45.7, 2179.25, 2179.25, 2178.25, 2178.25, 3410, 1000, 2178.75, 2178.58, 2178.75, 2793, 617, 2180.28, 2181.83, 2178.73
2016/8/9, 12:32:47.60, 2178.25, 2178.25, 2177.75, 2178.00, 3541, 1000, 2178.06, 2178.00, 2178.00, 1786, 1755, 2180.06, 2181.57, 2178.56
2016/8/9, 12:33:34.5, 2178.00, 2178.00, 2177.50, 2178.00, 4073, 1000, 2177.88, 2177.83, 2177.75, 1685, 2388, 2179.87, 2181.33, 2178.40
2016/8/9, 12:34:36.26, 2178.00, 2178.25, 2177.75, 2178.00, 3344, 1000, 2178.00, 2178.00, 2178.00, 1328, 2016, 2179.69, 2181.12, 2178.26
2016/8/9, 12:35:52.24, 2178.00, 2178.50, 2178.00, 2178.50, 3567, 1000, 2178.25, 2178.33, 2178.25, 976, 2591, 2179.58, 2180.98, 2178.17
2016/8/9, 12:38:14.135, 2178.50, 2178.50, 2178.25, 2178.50, 3855, 1000, 2178.44, 2178.42, 2178.38, 1544, 2311, 2179.47, 2180.79, 2178.16
2016/8/9, 12:40:17.147, 2178.50, 2178.75, 2178.00, 2178.50, 3610, 1000, 2178.44, 2178.42, 2178.38, 1849, 1761, 2179.38, 2180.74, 2178.03
2016/8/9, 12:42:47.97, 2178.50, 2178.75, 2178.25, 2178.50, 4458, 1000, 2178.50, 2178.50, 2178.50, 1665, 2793, 2179.30, 2180.63, 2177.96
2016/8/9, 12:45:58.155, 2178.50, 2178.75, 2178.25, 2178.25, 3606, 1000, 2178.44, 2178.42, 2178.50, 1907, 1699, 2179.20, 2180.51, 2177.89
2016/8/9, 12:50:22.58, 2178.25, 2178.75, 2178.00, 2178.50, 3754, 1000, 2178.38, 2178.42, 2178.38, 1574, 2180, 2179.13, 2180.48, 2177.78
2016/8/9, 12:53:52.24, 2178.50, 2178.75, 2177.75, 2178.00, 4022, 1000, 2178.25, 2178.17, 2178.25, 2217, 1805, 2179.02, 2180.46, 2177.58
2016/8/9, 12:57:08.22, 2178.00, 2178.50, 2178.00, 2178.25, 3934, 1000, 2178.19, 2178.25, 2178.25, 1811, 2123, 2178.95, 2180.36, 2177.54
2016/8/9, 12:59:23.30, 2178.25, 2178.75, 2178.00, 2178.50, 3761, 1000, 2178.38, 2178.42, 2178.38, 2143, 1618, 2178.91, 2180.34, 2177.47
2016/8/9, 13:02:03.31, 2178.50, 2179.00, 2178.25, 2178.75, 3319, 1000, 2178.63, 2178.67, 2178.63, 1414, 1905, 2178.89, 2180.35, 2177.43
2016/8/9, 13:04:41.14, 2178.75, 2179.25, 2178.75, 2178.75, 3684, 1000, 2178.88, 2178.92, 2179.00, 1488, 2196, 2178.88, 2180.31, 2177.45
2016/8/9, 13:06:51.55, 2178.75, 2179.25, 2178.50, 2178.75, 3338, 1000, 2178.81, 2178.83, 2178.88, 1830, 1508, 2178.87, 2180.32, 2177.41
2016/8/9, 13:10:43.19, 2178.75, 2179.00, 2178.25, 2178.50, 3427, 1000, 2178.63, 2178.58, 2178.63, 1612, 1815, 2178.83, 2180.31, 2177.35
2016/8/9, 13:15:46.66, 2178.50, 2179.25, 2178.50, 2179.00, 3884, 1000, 2178.81, 2178.92, 2178.88, 1808, 2076, 2178.85, 2180.35, 2177.35
