Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/22, 10:20:00, 2085.00, 2085.75, 2084.50, 2085.00, 10878, 3845, 5342, 5536
2016/6/22, 10:25:00, 2085.00, 2087.00, 2085.00, 2086.25, 18291, 6121, 7597, 10694
2016/6/22, 10:30:00, 2086.25, 2088.25, 2084.50, 2088.00, 41754, 13353, 20518, 21236
2016/6/22, 10:35:00, 2088.00, 2089.50, 2087.50, 2088.25, 22191, 7536, 11300, 10891
2016/6/22, 10:40:00, 2088.00, 2090.00, 2088.00, 2090.00, 19641, 6830, 8924, 10717
2016/6/22, 10:45:00, 2090.00, 2090.50, 2088.50, 2089.25, 21974, 7832, 12111, 9863
2016/6/22, 10:50:00, 2089.25, 2091.25, 2089.25, 2090.50, 19707, 6613, 8762, 10945
2016/6/22, 10:55:00, 2090.50, 2091.25, 2089.00, 2089.25, 15903, 5929, 8495, 7408
2016/6/22, 11:00:00, 2089.25, 2090.00, 2088.75, 2089.50, 12613, 4834, 6457, 6156
2016/6/22, 11:05:00, 2089.50, 2089.50, 2087.75, 2088.75, 11255, 4152, 6373, 4882
2016/6/22, 11:10:00, 2088.50, 2089.50, 2088.25, 2088.25, 12780, 4156, 6176, 6604
2016/6/22, 11:15:00, 2088.50, 2090.75, 2088.00, 2090.25, 16001, 5369, 7513, 8488
2016/6/22, 11:20:00, 2090.50, 2091.00, 2089.75, 2090.00, 11241, 4063, 6022, 5219
2016/6/22, 11:25:00, 2089.75, 2091.25, 2089.75, 2090.50, 10902, 3668, 5142, 5760
2016/6/22, 11:30:00, 2090.50, 2090.50, 2084.25, 2085.25, 47550, 16052, 28117, 19433
2016/6/22, 11:35:00, 2085.25, 2087.00, 2084.50, 2086.00, 22971, 7876, 10640, 12331
2016/6/22, 11:40:00, 2086.00, 2086.75, 2084.50, 2086.00, 14937, 5711, 7473, 7464
2016/6/22, 11:45:00, 2086.00, 2087.00, 2085.25, 2085.25, 12608, 4587, 6166, 6442
2016/6/22, 11:50:00, 2085.25, 2086.75, 2085.25, 2086.25, 11345, 3963, 5953, 5392
2016/6/22, 11:55:00, 2086.25, 2087.00, 2086.00, 2086.75, 5956, 2140, 2756, 3200
2016/6/22, 12:00:00, 2087.00, 2087.50, 2085.75, 2086.50, 8255, 3231, 3936, 4319
2016/6/22, 12:05:00, 2086.50, 2087.00, 2085.00, 2085.75, 8661, 3430, 4499, 4162
2016/6/22, 12:10:00, 2085.50, 2087.00, 2085.50, 2086.25, 7141, 2577, 3066, 4075
2016/6/22, 12:15:00, 2086.00, 2086.75, 2084.25, 2084.50, 13102, 4682, 7619, 5483
2016/6/22, 12:20:00, 2084.50, 2085.00, 2081.00, 2081.25, 24036, 7643, 14590, 9446
2016/6/22, 12:25:00, 2081.00, 2082.00, 2080.25, 2082.00, 14050, 4598, 5995, 8055
2016/6/22, 12:30:00, 2082.00, 2082.75, 2081.25, 2082.50, 10701, 3652, 4413, 6288
2016/6/22, 12:35:00, 2082.25, 2082.50, 2081.50, 2081.75, 7552, 2878, 3948, 3604
2016/6/22, 12:40:00, 2081.75, 2082.50, 2081.25, 2081.25, 10644, 3318, 6020, 4624
2016/6/22, 12:45:00, 2081.25, 2081.50, 2079.75, 2081.50, 19047, 5889, 9896, 9151
2016/6/22, 12:50:00, 2081.25, 2082.75, 2081.00, 2081.25, 13632, 4574, 6461, 7171
2016/6/22, 12:55:00, 2081.25, 2082.75, 2081.00, 2082.25, 7238, 2267, 3127, 4111
2016/6/22, 13:00:00, 2082.50, 2082.50, 2080.25, 2080.75, 18089, 5820, 10170, 7919
2016/6/22, 13:05:00, 2080.50, 2081.00, 2077.25, 2077.50, 15692, 5269, 10041, 5651
2016/6/22, 13:10:00, 2077.25, 2078.50, 2076.50, 2078.25, 18259, 6278, 8849, 9410
2016/6/22, 13:15:00, 2078.25, 2079.00, 2077.00, 2078.25, 13333, 4539, 5975, 7358
2016/6/22, 13:20:00, 2078.25, 2079.00, 2077.25, 2077.50, 12497, 3895, 6667, 5830
2016/6/22, 13:25:00, 2077.50, 2079.75, 2077.25, 2079.25, 15117, 4720, 6220, 8897
2016/6/22, 13:30:00, 2079.25, 2080.75, 2079.00, 2079.75, 14334, 4694, 7003, 7331
2016/6/22, 13:35:00, 2080.00, 2081.00, 2079.00, 2080.75, 11112, 4117, 5625, 5487
2016/6/22, 13:40:00, 2081.00, 2081.50, 2080.50, 2081.25, 7130, 2489, 3448, 3682
