Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/22, 11:43:05.52, 2082.00, 2082.25, 2081.50, 2081.50, 1534, 500, 1068, 466
2016/6/22, 11:43:54.2, 2081.50, 2081.75, 2081.25, 2081.50, 1522, 500, 980, 542
2016/6/22, 11:44:52.55, 2081.50, 2081.50, 2080.75, 2081.00, 1401, 500, 998, 403
2016/6/22, 11:45:26.45, 2081.00, 2081.00, 2080.25, 2080.50, 1536, 500, 967, 569
2016/6/22, 11:45:36.139, 2080.25, 2080.75, 2080.25, 2080.75, 1593, 500, 837, 756
2016/6/22, 11:45:53.1, 2080.50, 2080.50, 2080.25, 2080.50, 1598, 500, 1195, 403
2016/6/22, 11:46:11.8, 2080.50, 2081.00, 2080.50, 2080.75, 1632, 500, 471, 1161
2016/6/22, 11:46:27.13, 2080.75, 2081.25, 2080.50, 2080.50, 1664, 500, 810, 854
2016/6/22, 11:47:13.38, 2080.50, 2080.50, 2080.00, 2080.00, 1926, 500, 1250, 676
2016/6/22, 11:47:27.70, 2080.00, 2080.25, 2079.75, 2080.25, 2039, 500, 893, 1146
2016/6/22, 11:47:47.51, 2080.25, 2081.25, 2080.25, 2081.25, 1495, 500, 511, 984
2016/6/22, 11:48:10.141, 2081.25, 2081.50, 2080.75, 2081.00, 1608, 500, 786, 822
2016/6/22, 11:48:41.25, 2081.00, 2081.50, 2080.50, 2081.25, 1509, 500, 764, 745
2016/6/22, 11:49:20.1, 2081.00, 2081.50, 2081.00, 2081.25, 1409, 500, 772, 637
2016/6/22, 11:50:00.52, 2081.25, 2081.75, 2081.25, 2081.25, 1551, 500, 630, 921
2016/6/22, 11:50:26.22, 2081.25, 2081.75, 2081.00, 2081.75, 1435, 500, 541, 894
2016/6/22, 11:50:58.110, 2081.75, 2082.00, 2081.50, 2082.00, 1474, 500, 518, 956
2016/6/22, 11:52:01.50, 2082.00, 2082.25, 2082.00, 2082.00, 1418, 500, 508, 910
2016/6/22, 11:52:31.5, 2082.00, 2082.00, 2081.25, 2081.50, 1492, 500, 1130, 362
2016/6/22, 11:52:55.9, 2081.50, 2082.50, 2081.50, 2082.50, 1363, 500, 363, 1000
2016/6/22, 11:53:28.40, 2082.50, 2082.75, 2082.00, 2082.00, 1532, 500, 700, 832
2016/6/22, 11:53:57.40, 2082.00, 2082.25, 2081.50, 2081.50, 1389, 500, 727, 662
2016/6/22, 11:54:30.70, 2081.50, 2081.50, 2081.25, 2081.25, 1793, 500, 1166, 627
2016/6/22, 11:54:50.140, 2081.25, 2081.75, 2081.25, 2081.50, 1917, 500, 770, 1147
2016/6/22, 11:55:57.8, 2081.50, 2081.50, 2081.00, 2081.25, 1480, 500, 802, 678
2016/6/22, 11:57:28.10, 2081.25, 2082.50, 2081.25, 2082.25, 1513, 500, 402, 1111
2016/6/22, 11:58:23.94, 2082.25, 2082.50, 2082.00, 2082.50, 1633, 500, 813, 820
2016/6/22, 11:59:19.10, 2082.50, 2082.75, 2082.00, 2082.00, 1390, 500, 976, 414
2016/6/22, 12:00:01.194, 2082.00, 2082.00, 2081.00, 2081.25, 1428, 500, 893, 535
2016/6/22, 12:00:06.37, 2081.25, 2082.00, 2081.25, 2081.75, 1727, 500, 818, 909
2016/6/22, 12:00:22.26, 2081.75, 2082.00, 2081.50, 2081.75, 1620, 500, 859, 761
2016/6/22, 12:00:36.25, 2081.75, 2082.50, 2081.75, 2082.50, 1634, 500, 506, 1128
2016/6/22, 12:01:01.108, 2082.50, 2082.50, 2081.50, 2081.75, 1572, 500, 825, 747
2016/6/22, 12:01:45.31, 2081.75, 2082.00, 2081.00, 2081.25, 1652, 500, 1257, 395
2016/6/22, 12:01:54.59, 2081.25, 2081.25, 2080.50, 2080.50, 1500, 500, 1013, 487
2016/6/22, 12:02:23.55, 2080.50, 2081.25, 2080.50, 2081.00, 1634, 500, 626, 1008
2016/6/22, 12:02:41.64, 2081.00, 2081.00, 2080.50, 2080.50, 1490, 500, 815, 675
2016/6/22, 12:03:45.9, 2080.50, 2081.25, 2080.50, 2080.75, 1236, 500, 818, 418
2016/6/22, 12:04:24.8, 2080.75, 2081.00, 2080.25, 2080.50, 1645, 500, 996, 649
2016/6/22, 12:04:42.13, 2080.50, 2081.00, 2080.50, 2080.50, 1429, 500, 705, 724
2016/6/22, 12:05:56.8, 2080.50, 2080.75, 2079.75, 2079.75, 1247, 500, 1099, 148
2016/6/22, 12:06:41, 2079.75, 2080.00, 2079.50, 2079.50, 1442, 500, 973, 469
2016/6/22, 12:07:11.38, 2079.50, 2079.50, 2079.00, 2079.25, 1871, 500, 1516, 355
2016/6/22, 12:07:16.1, 2079.25, 2079.25, 2078.50, 2078.50, 1364, 500, 1140, 224
2016/6/22, 12:07:53.26, 2078.50, 2078.75, 2078.00, 2078.25, 1347, 500, 874, 473
2016/6/22, 12:08:00.70, 2078.25, 2078.50, 2078.00, 2078.50, 1306, 500, 587, 719
2016/6/22, 12:08:19.133, 2078.50, 2078.75, 2077.75, 2077.75, 1665, 500, 1249, 416
2016/6/22, 12:08:54.11, 2077.75, 2078.50, 2077.75, 2078.50, 1646, 500, 416, 1230
2016/6/22, 12:09:20, 2078.25, 2078.25, 2077.50, 2077.75, 1497, 500, 966, 531
2016/6/22, 12:09:36.68, 2077.75, 2078.00, 2077.00, 2077.00, 1633, 500, 1121, 512
2016/6/22, 12:10:00.122, 2077.00, 2077.25, 2076.75, 2076.75, 1564, 500, 1085, 479
2016/6/22, 12:10:10.4, 2077.00, 2077.50, 2076.75, 2077.25, 1395, 500, 440, 955
2016/6/22, 12:10:29, 2077.00, 2077.25, 2076.50, 2076.50, 1519, 500, 1053, 466
2016/6/22, 12:10:36.147, 2076.50, 2077.00, 2076.50, 2077.00, 1700, 500, 911, 789
2016/6/22, 12:11:00.30, 2077.00, 2077.50, 2076.75, 2077.50, 1349, 500, 465, 884
2016/6/22, 12:11:26.9, 2077.50, 2078.00, 2077.25, 2077.75, 1410, 500, 352, 1058
2016/6/22, 12:11:53, 2077.75, 2077.75, 2077.50, 2077.50, 1459, 500, 685, 774
2016/6/22, 12:12:10.7, 2077.50, 2077.75, 2077.25, 2077.50, 1243, 500, 609, 634
2016/6/22, 12:12:47.80, 2077.50, 2077.50, 2076.75, 2077.00, 1719, 500, 1088, 631
2016/6/22, 12:13:20.17, 2077.00, 2078.00, 2076.75, 2077.75, 1179, 500, 598, 581
2016/6/22, 12:14:03.64, 2077.75, 2078.25, 2077.50, 2078.25, 1197, 500, 305, 892
2016/6/22, 12:14:42.45, 2078.25, 2078.50, 2077.75, 2078.25, 1620, 500, 653, 967
2016/6/22, 12:14:51.17, 2078.25, 2078.25, 2077.50, 2078.00, 1465, 500, 793, 672
2016/6/22, 12:15:22.12, 2078.00, 2078.25, 2078.00, 2078.00, 1592, 500, 769, 823
2016/6/22, 12:15:47.15, 2078.00, 2078.25, 2077.50, 2077.75, 1472, 500, 776, 696
2016/6/22, 12:16:13.54, 2077.50, 2078.00, 2077.25, 2078.00, 1468, 500, 574, 894
2016/6/22, 12:16:38.47, 2078.00, 2078.25, 2077.25, 2077.25, 1358, 500, 744, 614
2016/6/22, 12:17:40.21, 2077.25, 2078.00, 2077.00, 2077.75, 1312, 500, 487, 825
2016/6/22, 12:18:14, 2077.75, 2078.50, 2077.75, 2078.50, 1700, 500, 458, 1242
2016/6/22, 12:19:09.50, 2078.50, 2079.00, 2078.50, 2078.75, 1542, 500, 637, 905
2016/6/22, 12:19:25.56, 2078.75, 2079.00, 2078.25, 2078.25, 1295, 500, 754, 541
2016/6/22, 12:19:42.25, 2078.25, 2078.50, 2078.00, 2078.25, 1625, 500, 830, 795
2016/6/22, 12:20:15.8, 2078.25, 2079.00, 2078.00, 2079.00, 1761, 500, 717, 1044
2016/6/22, 12:20:44.13, 2079.00, 2079.00, 2078.50, 2078.75, 1603, 500, 863, 740
2016/6/22, 12:21:55, 2078.50, 2078.75, 2077.50, 2078.00, 1361, 500, 993, 368
2016/6/22, 12:22:18.63, 2078.00, 2078.00, 2077.50, 2077.75, 1687, 500, 872, 815
2016/6/22, 12:23:06.30, 2077.75, 2077.75, 2077.25, 2077.50, 1403, 500, 768, 635
2016/6/22, 12:23:44.18, 2077.50, 2078.00, 2077.50, 2077.75, 1645, 500, 756, 889
2016/6/22, 12:24:19.18, 2077.75, 2078.00, 2077.25, 2077.50, 1608, 500, 885, 723
2016/6/22, 12:24:55.13, 2077.50, 2078.25, 2077.25, 2078.25, 1588, 500, 442, 1146
2016/6/22, 12:25:38.95, 2078.25, 2078.50, 2077.75, 2078.00, 1360, 500, 817, 543
2016/6/22, 12:26:34.25, 2078.00, 2078.75, 2077.75, 2078.75, 1657, 500, 512, 1145
2016/6/22, 12:27:33.81, 2078.75, 2078.75, 2078.00, 2078.00, 1407, 500, 868, 539
2016/6/22, 12:28:36.13, 2078.00, 2078.75, 2078.00, 2078.75, 2124, 500, 253, 1871
2016/6/22, 12:28:39.391, 2078.75, 2079.25, 2078.75, 2079.00, 2011, 500, 830, 1181
2016/6/22, 12:28:39.891, 2079.00, 2079.50, 2079.00, 2079.50, 1322, 500, 491, 831
2016/6/22, 12:28:49.10, 2079.50, 2079.75, 2079.00, 2079.25, 1728, 500, 863, 865
2016/6/22, 12:29:11.13, 2079.25, 2079.75, 2079.25, 2079.25, 1436, 500, 695, 741
2016/6/22, 12:29:40.43, 2079.50, 2079.50, 2079.00, 2079.00, 1645, 500, 1031, 614
2016/6/22, 12:30:15.103, 2079.00, 2079.50, 2079.00, 2079.00, 1662, 500, 769, 893
2016/6/22, 12:30:39.7, 2079.00, 2079.50, 2079.00, 2079.25, 1396, 500, 790, 606
2016/6/22, 12:31:21.5, 2079.25, 2079.50, 2079.00, 2079.25, 1552, 500, 873, 679
2016/6/22, 12:32:04.47, 2079.25, 2080.00, 2079.00, 2080.00, 1749, 500, 429, 1320
2016/6/22, 12:32:35.49, 2080.00, 2080.25, 2079.75, 2080.25, 1469, 500, 487, 982
2016/6/22, 12:32:54.93, 2080.25, 2080.25, 2080.00, 2080.00, 1342, 500, 1046, 296
2016/6/22, 12:33:22.49, 2080.00, 2080.25, 2079.50, 2080.25, 1265, 500, 708, 557
2016/6/22, 12:34:10.13, 2080.25, 2080.75, 2080.25, 2080.50, 1658, 500, 503, 1155
2016/6/22, 12:34:28.59, 2080.50, 2080.50, 2079.50, 2079.75, 1468, 500, 938, 530
2016/6/22, 12:34:57, 2079.75, 2080.00, 2079.50, 2080.00, 1119, 500, 534, 585
2016/6/22, 12:35:41, 2080.00, 2080.00, 2079.25, 2079.25, 1196, 500, 889, 307
2016/6/22, 12:36:10.1, 2079.25, 2079.75, 2079.00, 2079.75, 1147, 500, 707, 440
2016/6/22, 12:36:48.29, 2079.75, 2080.00, 2079.50, 2080.00, 1415, 500, 813, 602
